,ProjectName,PrimaryLanguage,Stars,TotalOfPullRequests,TotalOfIssues,TotalOfForks,Engagement
318,be5invis/Iosevka,JavaScript,14742,111,1316,488,638.3333333333334
319,keystonejs/keystone-classic,JavaScript,14718,2543,2458,2290,2430.3333333333335
320,riot/riot,JavaScript,14710,764,2170,1023,1319.0
321,aframevr/aframe,JavaScript,14659,2148,2952,3563,2887.6666666666665
322,grab/front-end-guide,JavaScript,14640,42,10,1146,399.3333333333333
323,mjmlio/mjml,JavaScript,14540,740,1797,878,1138.3333333333333
324,checkly/headless-recorder,JavaScript,14536,113,105,680,299.3333333333333
325,frappe/charts,JavaScript,14514,127,262,725,371.3333333333333
326,angular-ui/bootstrap,JavaScript,14429,2270,4454,6934,4552.666666666667
327,maxwellito/vivus,JavaScript,14397,42,199,1142,461.0
328,facebookarchive/prepack,JavaScript,14364,1871,769,488,1042.6666666666667
329,markdown-it/markdown-it,JavaScript,14338,147,739,1551,812.3333333333334
330,simple-icons/simple-icons,JavaScript,14325,4500,3411,2052,3321.0
331,commitizen/cz-cli,JavaScript,14319,618,330,545,497.6666666666667
332,browserify/browserify,JavaScript,14247,541,1485,1242,1089.3333333333333
333,modood/Administrative-divisions-of-China,JavaScript,14184,20,104,6538,2220.6666666666665
334,bootstrap-vue/bootstrap-vue,JavaScript,14088,3629,3311,1898,2946.0
335,kamranahmedse/driver.js,JavaScript,14083,118,209,793,373.3333333333333
336,ToolJet/ToolJet,JavaScript,14069,2429,2085,1266,1926.6666666666667
337,janpaepke/ScrollMagic,JavaScript,14034,86,918,2059,1021.0
338,fbsamples/f8app,JavaScript,14031,93,206,2633,977.3333333333334
339,hapijs/hapi,JavaScript,14019,1303,3057,1365,1908.3333333333333
340,mdx-js/mdx,JavaScript,14013,1276,595,1143,1004.6666666666666
341,verdaccio/verdaccio,JavaScript,14013,2065,1038,1254,1452.3333333333333
342,brave/brave-browser,JavaScript,14007,1880,24091,1629,9200.0
343,gpujs/gpu.js,JavaScript,13970,203,573,666,480.6666666666667
344,automerge/automerge,JavaScript,13955,242,267,4053,1520.6666666666667
345,FormidableLabs/webpack-dashboard,JavaScript,13890,127,217,427,257.0
346,geeeeeeeeek/electronic-wechat,JavaScript,13869,98,595,2813,1168.6666666666667
347,marcuswestin/store.js,JavaScript,13843,116,215,1398,576.3333333333334
348,thomaspark/bootswatch,JavaScript,13838,368,840,3667,1625.0
349,liabru/matter-js,JavaScript,13807,135,1025,1853,1004.3333333333334
350,infinitered/reactotron,JavaScript,13762,760,489,906,718.3333333333334
351,bradtraversy/vanillawebprojects,JavaScript,13710,69,0,3925,1331.3333333333333
352,stephentian/33-js-concepts,JavaScript,13706,20,17,2209,748.6666666666666
353,foreversd/forever,JavaScript,13658,215,916,982,704.3333333333334
354,RobinLinus/snapdrop,JavaScript,13648,104,405,1231,580.0
355,edent/SuperTinyIcons,JavaScript,13638,454,216,817,495.6666666666667
356,adobe-webplatform/Snap.svg,JavaScript,13579,110,556,1165,610.3333333333334
357,brix/crypto-js,JavaScript,13566,69,360,1965,798.0
358,google/WebFundamentals,JavaScript,13556,5507,3930,2717,4051.3333333333335
359,shelljs/shelljs,JavaScript,13531,503,597,738,612.6666666666666
360,amazeui/amazeui,JavaScript,13523,436,715,2550,1233.6666666666667
361,MithrilJS/mithril.js,JavaScript,13479,1221,1532,952,1235.0
362,umami-software/umami,JavaScript,13465,510,803,2050,1121.0
363,zalmoxisus/redux-devtools-extension,JavaScript,13451,171,672,1060,634.3333333333334
364,ether/etherpad-lite,JavaScript,13412,2631,2925,2454,2670.0
